,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907
ENSMUSG00000032788,0.0,0.0,0.0,0.0,0.0,1.13194,0.249745,0.0,0.25805100000000003,198.91,189.247,121.95200000000001,163.227,194.43099999999998,178.503,107.729,106.611,188.99,156.063,187.362,185.53,133.19799999999998,165.787,214.35,113.135,241.64700000000002,133.546,196.308,343.0,265.613,199.80599999999998,216.929,228.14,207.584,230.611,234.30200000000002,195.082,250.905,213.17700000000002,254.601,251.35,214.80200000000002,222.859,207.699,211.92,284.351,240.697,234.907,231.79
ENSMUSG00000075014,17.35,24.4133,19.317999999999998,18.3526,32.3429,5.93578,314.848,17.9131,20.0085,146.749,92.2487,140.639,88.0847,21.3385,120.016,252.78,221.229,47.309,41.8415,444.7,222.15099999999998,146.035,157.844,149.969,73.2114,59.2492,104.28399999999999,75.5003,96.8597,24.1704,45.7397,36.2555,18.3813,245.297,92.1804,153.054,51.3539,76.9639,61.6053,19.3918,41.3615,12.1399,13.3897,14.8795,47.9627,35.0688,19.0715,14.0624,13.5821
ENSMUSG00000022247,342.89300000000003,334.01,232.84799999999998,286.926,450.587,541.316,2.55107,392.11300000000006,512.355,194.40200000000002,186.037,146.774,167.12400000000002,212.63099999999997,247.56900000000002,199.453,97.0752,218.105,212.74900000000002,197.18400000000003,250.21400000000003,174.61599999999999,267.563,374.25,275.263,331.686,183.21099999999998,240.796,337.839,231.704,252.84,276.048,270.002,257.04400000000004,261.64799999999997,260.598,237.484,267.512,289.397,259.094,269.329,263.728,295.635,261.518,223.58,313.558,270.96299999999997,271.909,293.457
ENSMUSG00000074059,205.577,222.41400000000002,144.754,202.88,261.697,322.126,16.2052,233.72,352.329,23.5315,0.0,0.680372,21.6506,14.2885,22.0222,34.8199,34.0579,25.9576,8.771360000000001,13.4387,70.342,26.0169,89.5314,46.7025,60.8876,44.9862,24.5494,11.4442,38.0881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150529,15.1935,0.0,0.0,0.0,0.0,0.0,1.52627,24.3884,8.84188,0.0,21.4902
ENSMUSG00000020962,320.541,298.95799999999997,217.043,281.14,266.916,365.75,256.466,350.86,462.32199999999995,309.536,158.422,198.989,112.396,153.398,260.004,266.218,224.933,192.236,228.67700000000002,378.01800000000003,148.872,156.87,170.77700000000002,85.3074,114.461,116.639,181.88099999999997,209.15900000000002,204.715,121.976,155.409,159.431,250.50400000000002,211.68099999999998,202.675,173.628,184.303,223.264,142.998,182.18900000000002,269.745,98.704,85.4127,55.8108,167.114,28.6363,62.5913,89.6849,105.685
ENSMUSG00000082908,85.7391,107.06,123.66,124.244,94.2529,56.5635,26.294,57.9099,85.8119,86.3401,42.0517,91.8806,35.4075,47.9412,64.2346,128.27200000000002,32.9083,97.4765,72.719,199.47,167.48,148.434,179.972,213.22799999999998,159.123,350.62,43.9424,157.442,326.04900000000004,278.113,207.886,206.375,236.61700000000002,198.19099999999997,206.99900000000002,212.359,180.56599999999997,275.026,252.188,220.135,313.682,235.94099999999997,288.243,210.31400000000002,172.269,281.559,273.157,317.624,224.60299999999998
ENSMUSG00000067274,122.01100000000001,86.1796,151.273,94.8212,91.8759,107.75399999999999,137.158,146.707,99.7847,341.94,257.673,191.729,234.96,291.04400000000004,267.526,258.119,267.265,322.373,306.394,421.728,308.087,234.02599999999998,328.08,350.885,298.566,383.819,201.637,221.822,427.17199999999997,351.17699999999996,280.08,281.78,315.99,299.843,339.154,309.449,273.684,357.18300000000005,353.10699999999997,320.228,348.155,318.837,369.202,320.546,277.631,365.345,318.433,340.67400000000004,305.70099999999996
ENSMUSG00000021286,229.984,227.916,174.68200000000002,229.81,265.764,280.013,0.70738,269.627,297.807,27.6443,33.6947,42.1641,13.847999999999999,0.615124,13.232999999999999,34.016999999999996,35.945,12.4268,18.2986,37.3998,123.31700000000001,76.4349,21.0956,91.2374,126.038,118.00299999999999,68.8888,2.95958,36.0863,10.9103,0.0,0.157638,1.3463,0.0,0.0,0.0,0.0,0.201235,0.393332,47.4551,0.35990500000000003,0.0,0.200923,30.3226,0.46696800000000005,10.0788,7.210439999999999,0.0,0.0
ENSMUSG00000006941,254.271,279.995,186.50900000000001,285.474,318.02,298.557,97.3178,246.43099999999998,325.094,80.8648,35.9799,22.6502,59.129,47.7131,11.4988,50.6755,35.725,29.5889,54.56399999999999,43.0978,198.40200000000002,84.4758,151.977,122.884,145.49,193.109,59.1909,160.851,244.497,76.9231,24.2983,18.8667,57.4619,16.9712,65.8298,107.288,73.6323,82.6498,74.9119,52.6191,56.7716,136.748,90.9393,76.085,30.0433,138.91,4.25114,89.0833,51.62
ENSMUSG00000068180,210.076,231.745,309.322,202.424,280.559,184.765,0.0,202.50599999999997,130.601,0.315288,39.056,44.0696,21.3991,13.1903,8.1273,92.2485,47.4972,5.79441,42.5982,43.1474,30.2268,77.8173,146.157,22.9346,88.1633,334.645,98.50299999999999,0.0294399,30.8239,0.06504059999999999,0.0,0.0,11.6046,0.0,0.0,0.0,29.8284,59.9375,70.845,7.12333,0.0,0.0437001,0.0,1.05706,0.0,0.0,0.34977800000000003,87.5336,16.362000000000002
ENSMUSG00000027423,0.0,8.19293,9.657639999999999,0.0,0.414642,0.0,35.9064,0.0,5.22864,48.8679,103.505,42.2052,154.585,140.689,82.7919,49.7523,63.218999999999994,66.9377,86.6392,88.6567,83.6385,53.1699,159.799,121.961,83.523,132.145,54.4394,178.35299999999998,82.7297,225.291,219.53799999999998,188.15900000000002,293.423,185.56400000000002,248.08599999999998,161.454,187.551,152.355,253.717,95.5357,222.34799999999998,219.206,295.079,320.55400000000003,170.738,124.494,270.48,181.415,186.081
ENSMUSG00000064326,374.106,314.942,277.52,304.895,357.579,407.265,40.9555,343.57099999999997,556.847,174.766,155.632,124.111,119.65299999999999,107.67200000000001,113.04899999999999,153.091,214.112,192.34400000000002,200.172,301.88,331.094,188.015,277.306,259.77299999999997,182.75099999999998,252.85299999999998,141.69,187.498,215.325,179.86700000000002,185.485,142.24200000000002,167.317,150.16,185.11599999999999,184.264,161.559,237.497,220.483,200.021,235.80200000000002,221.40200000000002,274.423,197.095,126.81299999999999,215.111,211.347,242.021,159.876
ENSMUSG00000044287,297.454,215.38400000000001,261.284,198.79,294.909,362.115,0.593725,250.40599999999998,296.452,58.6204,59.143,41.49100000000001,54.0362,62.95,57.537,108.051,60.5647,127.61200000000001,115.634,155.38299999999998,108.689,106.80799999999999,115.98899999999999,129.704,86.573,143.452,79.1414,68.3126,79.3844,10.4747,23.0427,69.4675,1.03027,21.2083,1.10968,22.2802,0.437096,16.9274,99.1121,0.0,48.9897,40.0965,87.3707,20.287,35.2094,98.9616,37.3698,55.1681,56.1962
ENSMUSG00000055762,151.656,124.772,194.37599999999998,146.989,86.906,151.618,0.0,107.132,139.591,79.6045,164.59400000000002,142.243,223.708,226.553,109.605,131.023,97.538,120.92399999999999,158.16899999999998,121.637,183.00900000000001,202.804,304.904,347.50699999999995,245.43900000000002,100.171,183.86599999999999,219.477,373.423,321.939,312.845,311.866,277.967,282.897,271.908,292.961,194.18900000000002,252.665,241.863,310.731,228.298,329.869,280.163,271.51099999999997,294.70799999999997,373.73900000000003,307.59,343.51199999999994,257.39
ENSMUSG00000031755,5.39035,13.7872,12.5453,15.4238,1.5064799999999998,9.8893,112.85,14.9368,12.2561,269.887,203.33900000000003,161.22299999999998,216.71599999999998,199.963,185.04,153.911,121.867,210.261,219.331,165.78599999999997,222.896,183.967,239.63,333.14099999999996,300.834,370.087,138.114,203.572,326.698,106.259,70.6527,76.988,158.61700000000002,123.689,150.504,107.305,172.22299999999998,227.505,207.886,169.58900000000003,232.511,153.73,135.14,178.76,104.315,164.803,200.804,169.892,102.68799999999999
ENSMUSG00000023723,234.997,231.238,284.695,278.618,282.03700000000003,348.335,0.47171899999999994,226.28400000000002,329.352,147.167,71.322,49.585,132.421,89.8437,113.814,27.6244,75.3775,99.3783,68.1545,236.53799999999998,262.055,160.799,39.5744,113.238,1.62802,165.343,185.86599999999999,211.635,368.275,159.183,147.31,95.8451,129.595,187.024,99.4608,146.375,171.485,101.318,58.7494,93.9847,163.403,162.194,136.148,141.793,52.5601,210.34599999999998,278.22900000000004,234.122,214.28
ENSMUSG00000037822,245.67700000000002,324.508,194.37400000000002,240.733,258.868,208.24,67.1588,263.653,306.763,63.5048,27.3979,25.0611,42.1192,20.2346,30.5478,49.7434,68.0831,59.9968,42.93600000000001,120.40299999999999,104.152,58.7981,147.554,60.7049,67.2611,147.543,47.1528,50.3579,63.7992,13.857000000000001,11.4268,7.59205,3.4379199999999996,0.38064499999999996,4.69635,11.3833,1.37011,1.56423,28.5908,73.4018,0.80711,11.6643,33.269,32.4216,0.0,11.9226,0.7535149999999999,27.7101,0.212417
ENSMUSG00000033706,4.54142,15.2092,6.03115,17.0935,3.45934,6.35553,0.813229,3.9681599999999997,1.4644700000000002,205.78099999999998,122.956,113.105,137.833,133.627,140.2,95.0609,102.585,78.8528,167.546,83.708,17.7074,36.8672,86.8022,80.0069,17.9081,53.9779,30.38,95.4825,23.0896,310.97900000000004,218.333,215.959,286.323,223.081,284.431,224.715,209.984,216.87,164.11700000000002,184.68599999999998,164.385,202.709,197.72400000000002,197.46599999999998,189.05599999999998,178.61900000000003,209.188,178.63,189.29
ENSMUSG00000084265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9372,0.0,68.4165,125.64200000000001,30.069000000000003,0.0,0.0,0.0,0.0,0.0,466.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.884,161.39,36.1778,0.0,98.669,76.9966,0.0
ENSMUSG00000040270,253.283,236.36700000000002,169.523,204.919,267.867,250.773,44.8222,252.558,291.39,3.3528300000000004,0.945573,1.0678,15.440999999999999,0.386251,9.04072,9.41806,19.2889,46.6563,15.1949,26.308000000000003,114.165,23.8051,5.59531,20.7601,4.14121,0.9264690000000001,0.257209,44.4869,11.1128,0.814571,0.234575,0.0842932,5.4436,0.0,0.0,0.0,0.763637,0.121261,0.0247769,0.557339,11.4758,1.1696,0.0240679,0.207419,0.0,0.0471444,0.0,0.0,0.0202472
ENSMUSG00000001039,246.92700000000002,192.423,194.73,217.12400000000002,274.126,235.535,2.74923,241.419,336.57199999999995,24.8001,79.5812,34.4175,57.0137,16.5692,0.0,43.0623,56.4931,25.6221,49.6688,91.0315,182.916,70.7523,36.1386,87.6457,13.472000000000001,193.852,90.9063,98.9981,156.035,26.8232,5.72272,0.767546,22.2335,19.024,0.838988,0.720132,25.145,0.0,47.6629,51.6733,0.8323200000000001,0.0,33.339,1.8289900000000001,0.0,0.0,0.0,45.0857,0.0
ENSMUSG00000020516,84.0525,68.2663,52.6672,60.6283,60.4225,55.9951,30.2269,71.1258,46.9438,163.69899999999998,163.688,121.852,132.768,141.933,80.6929,82.7824,112.59299999999999,130.19,117.2,366.041,312.843,178.44299999999998,316.403,319.882,289.35,184.148,154.47899999999998,140.33700000000002,315.20599999999996,63.496,48.1403,76.5896,50.4174,14.4755,97.3468,30.8929,77.3561,25.6463,84.2642,59.6194,102.306,99.0228,131.181,17.0133,54.8103,105.319,19.3329,43.2282,41.4182
ENSMUSG00000020321,240.05599999999998,243.71200000000002,192.64700000000002,237.39,283.285,313.541,0.183572,262.045,306.911,39.781,19.5542,0.279487,41.0255,22.3738,0.41131599999999996,40.4422,34.135,65.0971,40.7145,54.8163,87.541,32.7948,34.2846,0.473391,67.3936,74.0316,32.3815,36.354,75.9137,16.1449,3.7673900000000002,52.3268,64.2219,0.42626800000000004,35.9899,54.8565,53.2744,33.8398,74.8896,0.66188,2.36827,27.2015,0.791751,20.8843,0.451034,38.9532,61.7769,0.9503209999999999,25.1826
ENSMUSG00000051855,267.37,184.615,224.15900000000002,213.58,229.747,259.034,0.624041,261.13,311.332,47.2551,66.9125,33.8062,16.3811,17.1809,7.59732,51.6096,53.9307,23.3618,91.7204,0.20714200000000002,10.4699,87.574,6.8056600000000005,1e-06,13.0281,34.1632,30.6033,0.0,41.7914,2.40542,4.81439,3.66146,20.9561,0.0,8.85e-15,0.0,0.0,0.0956317,1.47414,0.0,0.0,0.0,0.0,2.1e-05,3.7170900000000002,0.0,0.0,2.91805,0.0
ENSMUSG00000064345,299.615,331.551,193.979,329.67900000000003,393.642,488.789,294.357,404.916,581.716,300.53700000000003,221.497,185.396,198.423,283.068,241.115,221.49,217.502,253.618,269.698,350.79900000000004,236.727,183.169,232.39,271.64,246.956,273.634,168.696,211.50099999999998,363.996,462.955,363.37300000000005,392.11699999999996,413.792,369.601,391.621,401.50199999999995,322.823,435.719,441.92199999999997,383.879,343.37199999999996,326.73400000000004,395.12699999999995,335.546,314.176,358.087,260.156,309.094,336.50699999999995
ENSMUSG00000028271,246.59,268.043,201.774,257.82,329.525,380.467,89.8026,303.619,413.86400000000003,33.3789,87.8265,59.8382,91.2189,57.9905,52.1206,120.531,89.9869,68.5573,23.4088,124.241,184.46,118.445,173.144,131.173,98.2704,160.641,73.5748,56.6008,114.456,75.0373,115.214,84.625,67.1254,62.8649,65.3007,79.3968,61.4825,56.4053,103.26799999999999,75.52,95.4667,113.007,104.26299999999999,56.4283,58.3487,143.355,100.31,105.07700000000001,93.8349
ENSMUSG00000022972,180.74400000000003,250.813,181.892,254.49400000000003,345.491,206.28599999999997,0.32422399999999996,347.469,262.904,55.8275,64.8403,62.4476,30.9605,50.6787,46.1274,76.6661,31.3638,30.2404,29.5049,196.537,148.885,206.69099999999997,251.02700000000002,98.6236,124.743,165.676,151.865,88.1719,216.775,76.78699999999999,80.6038,62.093999999999994,99.0956,75.1674,34.5997,41.7277,58.7385,20.5773,46.8131,155.246,33.9151,64.9717,8.53174,22.3282,34.9516,79.5488,84.6448,61.11600000000001,26.9633
ENSMUSG00000047911,246.96400000000003,235.317,192.86,242.149,275.828,326.916,95.2095,287.534,377.032,53.2361,93.7641,50.5258,73.4953,55.1232,63.8765,73.4243,81.5439,77.7837,69.6076,102.616,159.869,90.3934,150.108,169.995,125.52600000000001,175.97099999999998,93.5187,89.63,172.356,23.369,20.7075,25.22,22.0012,20.5458,37.6197,39.799,20.7111,37.9625,41.5751,45.3034,83.1444,52.081,3.1905200000000002,26.5917,48.1994,59.7731,63.115,41.2478,61.521
ENSMUSG00000039103,230.543,240.493,139.351,229.583,273.504,301.17400000000004,97.0623,305.911,379.37800000000004,129.501,109.125,82.7672,84.5154,91.1028,103.13799999999999,112.93,116.414,119.397,98.6525,221.324,175.542,119.083,154.64,160.05700000000002,145.227,167.801,103.696,111.113,169.267,33.1974,25.3399,22.0221,21.3558,12.1119,46.9103,15.7069,43.1906,80.8709,33.3687,33.1362,69.8356,16.9643,19.6391,8.297189999999999,5.1630400000000005,38.3412,45.0786,54.9009,46.5712
ENSMUSG00000025144,315.783,266.639,252.111,267.218,295.43,330.539,83.2929,262.353,380.596,87.906,70.5109,35.4887,60.5057,22.8918,47.8638,80.259,103.553,48.1529,35.1321,112.73299999999999,173.077,94.2827,76.2952,161.628,101.462,116.50399999999999,51.7654,51.1343,64.9707,59.626000000000005,70.6705,64.0954,59.7213,76.251,68.7826,49.4918,67.5695,45.8382,121.176,91.6551,142.112,102.921,90.3799,55.472,21.3397,135.08700000000002,96.5254,159.558,119.169
ENSMUSG00000062081,37.0623,41.3256,47.6705,31.767,26.8757,43.3454,20.0436,42.038000000000004,40.9719,187.016,165.312,121.14,146.016,187.00799999999998,157.235,137.59799999999998,123.781,166.68099999999998,156.674,221.025,189.94299999999998,128.393,177.17700000000002,233.11,216.225,260.018,124.583,160.386,284.71299999999997,255.40200000000002,218.217,240.24200000000002,247.649,239.868,275.61,272.543,210.07,292.11,289.373,251.05200000000002,263.559,291.428,309.68,277.41200000000003,218.905,319.689,231.014,292.005,223.546
ENSMUSG00000094436,28.5271,52.33,79.8408,82.48299999999999,52.0024,63.5233,0.0,79.1957,32.0721,211.56,263.975,98.7098,207.953,228.93400000000003,135.35299999999998,173.88299999999998,195.801,123.66,215.08900000000003,119.036,26.0811,170.373,23.9032,109.13799999999999,191.416,302.45799999999997,82.7966,9.60505,376.246,43.2422,17.9317,106.01700000000001,15.8195,109.801,5.60036,77.3088,108.166,111.79899999999999,23.2079,91.8463,178.084,0.0,108.304,43.6053,8.72365,10.9888,25.3426,234.329,9.31426
ENSMUSG00000093565,0.0,0.0,0.0,0.0,11.5761,0.0,0.0,0.0,0.0,185.69,96.5358,86.4727,95.524,176.968,138.34799999999998,232.801,215.585,88.3283,147.614,215.003,230.012,185.86900000000003,269.55400000000003,342.64599999999996,208.895,262.872,47.833999999999996,69.4774,176.65200000000002,12.1275,119.057,4.6832,84.5655,47.0551,74.6331,190.762,94.3127,189.518,113.839,51.18899999999999,204.99400000000003,93.288,105.835,65.2378,115.947,215.701,78.0675,187.09099999999998,88.8542
ENSMUSG00000033543,284.58299999999997,276.095,247.265,283.774,339.337,342.85,147.239,283.993,437.601,119.738,150.328,107.898,126.48200000000001,96.2958,92.0681,155.549,77.5838,134.476,123.26899999999999,189.497,199.02900000000002,124.396,213.07,234.035,220.247,313.358,128.688,148.061,179.442,53.6554,101.96,88.665,148.832,74.9411,95.289,34.6847,78.331,146.846,98.5649,121.895,81.8024,92.4517,58.1642,86.1626,128.321,174.09799999999998,108.094,84.7221,100.07
ENSMUSG00000015812,219.09099999999998,220.267,230.014,245.51,238.832,245.365,0.565393,236.983,322.08799999999997,79.9367,93.3412,47.5794,60.3449,48.6597,3.88165,117.958,78.7392,81.8992,103.71799999999999,137.58,171.80700000000002,95.1908,144.504,220.798,146.47,222.718,64.4637,97.3497,106.47200000000001,18.4343,16.9279,0.0,5.244280000000001,20.4086,0.692891,0.647149,19.2635,41.5433,87.5802,62.3268,3.19331,0.0,53.8989,24.3885,25.9655,33.4951,21.9419,18.127,0.0
ENSMUSG00000058392,278.14599999999996,246.804,267.759,289.02299999999997,275.249,313.913,0.0,323.34,280.41900000000004,34.1201,60.6745,45.7653,29.6782,71.0753,73.6825,23.8329,18.3066,59.9737,87.1338,36.5265,75.9126,96.8876,175.037,141.276,0.0,114.65899999999999,30.3439,51.4051,97.9825,108.46799999999999,136.898,64.0156,66.6169,109.785,137.88,159.21,128.474,104.863,74.4747,130.591,84.238,148.463,56.3179,76.8728,147.559,56.6305,165.03900000000002,20.3326,206.546
ENSMUSG00000020883,16.6681,36.2878,10.4455,29.1768,45.5799,28.5113,0.038294800000000004,37.8507,21.2358,22.6311,93.9635,74.3747,128.041,41.3834,91.0369,1.9384099999999997,34.6952,22.0484,28.7986,32.3731,30.7111,22.427,63.7848,6.75117,133.842,116.09700000000001,17.9755,109.712,159.319,270.88599999999997,84.2842,201.054,214.805,195.918,180.11900000000003,175.233,205.78400000000002,111.23100000000001,106.929,187.06,150.60399999999998,233.699,230.438,179.222,214.722,238.71599999999998,310.462,256.289,217.329
ENSMUSG00000085156,4.53862,3.24306,0.0,8.01107,0.0,0.0,0.0,0.0,0.0,112.51700000000001,152.468,66.2747,152.293,181.829,196.31400000000002,188.985,197.8,153.311,123.072,162.498,279.357,206.835,257.807,248.245,262.47,291.642,93.1437,174.435,333.599,97.48200000000001,153.267,127.729,141.64600000000002,110.039,101.039,122.649,107.62,246.235,219.28799999999998,254.79,182.498,175.24400000000003,157.589,155.592,114.618,104.492,220.912,201.558,115.464
ENSMUSG00000094128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3752,0.0,178.803,0.0,213.829,96.5687,470.154,0.0,0.0,0.0,0.0,78.90100000000001,108.353,127.92,0.0,0.0,0.0,0.0,0.0,0.0,130.309,142.034,0.0,0.0,0.0,0.0,127.77799999999999,0.0,0.0,145.76,135.783,128.553,0.0,0.0,0.0,0.0,111.82600000000001,133.378,0.0
ENSMUSG00000014980,5.157019999999999,1.43438,55.9833,4.85005,0.0,10.3559,0.0,44.3847,0.0,30.1333,29.0214,28.0834,14.1208,3.84951,19.4139,0.228979,2.2210799999999997,17.8411,84.0785,132.243,100.68,139.94,6.25904,37.6676,195.956,435.224,185.572,44.036,401.548,65.1057,79.5368,68.3551,32.3923,28.0719,47.5934,30.4554,47.0167,2.8522,36.1645,1.32289,59.8137,91.335,119.662,79.5101,57.953,1.71957,98.566,43.4824,49.6457
ENSMUSG00000025839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.114,165.979,93.9054,130.069,205.00099999999998,179.565,120.677,89.5507,162.22899999999998,193.709,66.6233,51.1697,119.625,80.388,190.487,126.05,160.611,91.8145,120.919,210.521,248.673,130.734,140.186,160.84799999999998,196.975,187.47,216.983,158.993,169.892,290.58299999999997,333.69800000000004,257.449,185.87900000000002,186.938,239.24099999999999,232.69799999999998,250.61,225.856,226.51,188.65
ENSMUSG00000029464,5.709999999999998e-159,10.152000000000001,1.75921,10.9276,9.38069,5.68425,27.4566,2.37584,4.56388,196.97,150.94299999999998,148.435,179.47400000000002,200.545,202.622,109.95,78.5753,131.98,193.178,84.1332,8.91443,109.882,160.181,237.753,118.005,170.62099999999998,143.203,237.03,261.219,259.791,190.44,223.602,233.74,146.81,156.898,201.886,170.75799999999998,274.388,242.15099999999998,227.269,266.60200000000003,218.998,223.299,107.555,196.083,266.666,192.7,264.492,180.687
ENSMUSG00000003429,112.133,144.547,150.005,130.782,142.82,174.641,127.915,157.076,165.854,291.686,239.65200000000002,184.799,223.495,275.435,240.40900000000002,192.378,178.425,262.897,240.99200000000002,315.358,288.434,193.947,277.83799999999997,345.77099999999996,300.742,391.731,192.18400000000003,213.368,469.48900000000003,357.298,279.971,315.983,341.205,292.04,345.63300000000004,318.981,290.38,366.537,384.673,360.45300000000003,320.258,343.809,406.405,353.01099999999997,321.327,393.291,320.585,371.00199999999995,318.275
ENSMUSG00000031387,0.0,0.751959,0.0,0.860384,0.0,0.0,0.141065,0.0,0.0,135.572,217.13,121.851,200.118,93.3434,149.477,103.444,24.6244,145.441,97.3216,156.264,146.214,242.32,196.919,229.368,241.497,290.39599999999996,152.556,261.332,262.812,83.43299999999999,107.86399999999999,102.471,123.848,160.961,208.81400000000002,208.00599999999997,284.968,170.581,102.875,241.928,167.13400000000001,176.708,105.30799999999999,206.813,134.359,193.24900000000002,203.923,18.1513,164.155
ENSMUSG00000034509,117.535,119.666,127.414,109.215,122.45299999999999,88.71700000000001,0.392852,92.1599,183.717,252.877,208.107,158.072,213.231,258.875,248.213,227.625,207.89700000000002,288.95599999999996,238.75,353.077,331.962,219.238,309.034,362.726,318.718,375.236,193.577,236.863,497.89300000000003,268.452,229.892,237.55599999999998,253.75099999999998,283.224,278.23900000000003,295.845,266.592,350.855,298.01,325.245,291.889,238.602,257.14,258.603,236.38,308.557,272.522,286.318,238.543
ENSMUSG00000021645,368.787,220.638,180.293,279.72700000000003,348.42900000000003,325.584,1.07844,334.147,396.855,98.7359,81.0253,102.277,131.49,103.021,93.8792,63.6888,22.9315,86.7684,100.375,46.0755,59.6094,94.8861,133.69799999999998,124.693,98.5137,228.793,41.7583,153.106,179.84,109.179,85.0165,132.417,145.907,87.26700000000001,156.161,178.386,169.995,116.44200000000001,176.21200000000002,165.11900000000003,139.846,169.385,137.312,134.27,122.76,207.06599999999997,168.977,183.483,145.908
ENSMUSG00000087935,18.5511,0.0,175.03099999999998,19.1877,25.3296,0.0,350.819,24.47,0.0,0.0,133.001,34.7485,0.0,161.225,0.0,164.166,128.102,62.1718,12.2203,53.6638,77.2418,0.0,0.0,0.0,164.963,0.0,0.0,0.0,0.0,36.6347,7.682760000000001,0.0,0.0,204.618,17.9205,124.844,0.0,0.0,287.371,197.476,16.2479,101.941,0.0,0.0,101.87100000000001,0.0,63.8096,233.333,164.62599999999998
ENSMUSG00000029723,12.1993,6.33041,7.1144,38.4646,15.1718,16.3916,0.0,9.95544,14.3939,132.06799999999998,158.05100000000002,90.2844,172.56599999999997,138.72899999999998,148.674,92.1901,113.478,215.335,152.931,77.0036,137.281,246.252,333.481,267.677,292.724,354.906,183.94299999999998,199.25,244.44,38.6771,74.8182,95.602,80.4866,76.8908,43.1525,98.3522,91.322,117.14299999999999,176.15599999999998,83.0377,67.7185,107.339,113.485,53.1682,24.1838,131.911,98.9054,73.7596,31.0005
ENSMUSG00000029655,103.97200000000001,135.248,72.2883,145.939,73.1723,81.1195,4.42673,203.845,103.81200000000001,169.03799999999998,150.757,127.195,173.72,177.58,259.847,99.6694,100.569,169.833,155.311,84.27600000000001,149.388,165.66099999999997,169.065,378.86199999999997,266.16900000000004,167.048,129.393,281.105,549.3969999999999,157.656,137.38299999999998,120.145,97.9356,216.672,145.003,158.705,168.544,234.266,150.756,358.58,161.364,117.59700000000001,110.382,133.341,124.26899999999999,165.49099999999999,147.338,186.658,157.41
ENSMUSG00000019179,69.5087,36.8158,35.9389,54.9546,41.8924,48.1066,0.0,72.6942,26.9863,280.85,199.507,163.017,154.207,232.202,225.12400000000002,185.49200000000002,169.63,225.324,202.09799999999998,132.208,189.201,197.37900000000002,254.981,315.407,275.24,312.279,217.27200000000002,229.363,362.25199999999995,238.799,202.88400000000001,236.579,211.78400000000002,241.52200000000002,279.31,277.561,264.691,277.835,255.472,293.027,307.897,214.363,230.642,203.562,232.981,280.414,224.778,192.68900000000002,209.162
ENSMUSG00000064410,0.0,0.0,0.0,0.0,0.0,0.0,181.668,0.0,0.0,221.419,0.0,111.74600000000001,0.0,0.0,0.0,0.0,45.2949,525.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.135
ENSMUSG00000029103,25.7092,43.2524,65.227,34.6403,23.6132,44.1225,1.55467,32.8514,24.79,31.8305,120.675,74.0834,13.3451,49.6271,117.999,71.6459,19.1467,40.3278,57.2917,103.189,1.22308,102.921,7.03728,78.6052,62.1116,5.03792,58.5488,61.4098,48.925,257.02099999999996,225.959,248.045,240.153,172.43099999999998,166.549,207.797,120.896,75.2743,175.905,196.94099999999997,238.3,230.726,235.02900000000002,165.933,305.034,208.377,217.821,150.423,229.537
ENSMUSG00000043716,13.4805,13.4437,14.0726,15.1729,0.0,7.916739999999999,0.0,16.8487,5.68958,98.3674,119.219,68.6212,107.491,100.46799999999999,114.68299999999999,51.0393,26.374000000000002,120.176,111.07,59.0754,91.2913,94.9434,123.976,171.292,167.415,198.878,92.3844,162.629,257.779,221.989,190.90200000000002,213.535,224.21,178.00900000000001,211.965,201.72799999999998,187.535,220.44,255.579,217.299,205.955,255.324,263.098,234.84599999999998,198.857,267.478,201.226,257.941,217.889
